time,flowcount
"05/11/2022, 00:14:59",1
"05/11/2022, 00:15:01",1
"05/11/2022, 00:15:03",1
"05/11/2022, 00:15:05",1
time,flowcount
"05/16/2022, 12:05:56",1
"05/16/2022, 12:05:59",1
"05/16/2022, 12:06:02",1
"05/16/2022, 12:06:05",1
"05/16/2022, 12:06:08",1
"05/16/2022, 12:06:11",1
"05/16/2022, 12:06:14",1
"05/16/2022, 12:06:17",1
"05/16/2022, 12:06:20",1
"05/16/2022, 12:06:23",1
"05/16/2022, 12:06:26",1
"05/16/2022, 12:06:29",1
"05/16/2022, 12:06:32",1
"05/16/2022, 12:06:35",1
"05/16/2022, 12:06:38",1
"05/16/2022, 12:06:41",1
"05/16/2022, 12:06:44",1
"05/16/2022, 12:06:47",1
"05/16/2022, 12:06:50",1
"05/16/2022, 12:06:53",1
"05/16/2022, 12:06:56",1
"05/16/2022, 12:06:59",1
"05/16/2022, 12:07:02",1
"05/16/2022, 12:07:05",1
"05/16/2022, 12:07:08",1
"05/16/2022, 12:07:11",1
"05/16/2022, 12:07:14",1
"05/16/2022, 12:07:17",1
"05/16/2022, 12:07:20",1
"05/16/2022, 12:07:23",1
"05/16/2022, 12:07:26",1
"05/16/2022, 12:07:29",1
"05/16/2022, 12:07:32",1
"05/16/2022, 12:07:35",1
"05/16/2022, 12:07:38",1
"05/16/2022, 12:07:41",1
"05/16/2022, 12:07:44",1
"05/16/2022, 12:07:47",1
"05/16/2022, 12:07:50",1
"05/16/2022, 12:07:53",1
"05/16/2022, 12:07:56",1
"05/16/2022, 12:07:59",1
"05/16/2022, 12:08:02",1
"05/16/2022, 12:08:05",1
"05/16/2022, 12:08:08",1
"05/16/2022, 12:08:11",1
"05/16/2022, 12:08:14",1
"05/16/2022, 12:08:17",1
"05/16/2022, 12:08:20",1
"05/16/2022, 12:08:23",1
"05/16/2022, 12:08:26",1
"05/16/2022, 12:08:29",1
"05/16/2022, 12:08:32",1
"05/16/2022, 12:08:35",1
"05/16/2022, 12:08:38",1
"05/16/2022, 12:08:41",1
"05/16/2022, 12:08:44",1
"05/16/2022, 12:08:49",1
"05/16/2022, 12:08:52",1
"05/16/2022, 12:08:55",1
"05/16/2022, 12:08:58",1
"05/16/2022, 12:09:01",1
"05/16/2022, 12:09:04",1
"05/16/2022, 12:09:07",1
"05/16/2022, 12:09:10",1
"05/16/2022, 12:09:13",1
"05/16/2022, 12:09:16",1
"05/16/2022, 12:09:19",1
"05/16/2022, 12:09:22",1
"05/16/2022, 12:09:25",1
"05/16/2022, 12:09:28",1
"05/16/2022, 12:09:31",1
"05/16/2022, 12:09:34",1
"05/16/2022, 12:09:37",1
"05/16/2022, 12:09:40",1
"05/16/2022, 12:09:43",1
"05/16/2022, 12:09:46",1
"05/16/2022, 12:09:49",1
"05/16/2022, 12:09:52",1
"05/16/2022, 12:09:55",1
"05/16/2022, 12:09:58",1
"05/16/2022, 12:10:01",1
"05/16/2022, 12:10:04",1
"05/16/2022, 12:10:07",1
"05/16/2022, 12:10:10",1
"05/16/2022, 12:10:13",1
"05/16/2022, 12:10:16",1
"05/16/2022, 12:10:19",1
"05/16/2022, 12:10:22",1
"05/16/2022, 12:10:25",1
"05/16/2022, 12:10:28",1
"05/16/2022, 12:10:31",1
"05/16/2022, 12:10:34",1
"05/16/2022, 12:10:37",1
"05/16/2022, 12:10:40",1
"05/16/2022, 12:10:43",1
"05/16/2022, 12:10:46",1
"05/16/2022, 12:10:49",1
"05/16/2022, 12:10:52",1
"05/16/2022, 12:10:55",1
"05/16/2022, 12:10:58",1
"05/16/2022, 12:11:01",1
"05/16/2022, 12:11:04",1
"05/16/2022, 12:11:07",1
"05/16/2022, 12:11:10",1
"05/16/2022, 12:11:13",1
"05/16/2022, 12:11:16",1
"05/16/2022, 12:11:19",1
"05/16/2022, 12:11:22",1
"05/16/2022, 12:11:25",1
"05/16/2022, 12:11:28",1
"05/16/2022, 12:11:31",1
"05/16/2022, 12:11:34",1
"05/16/2022, 12:11:37",1
"05/16/2022, 12:11:40",1
"05/16/2022, 12:11:43",1
"05/16/2022, 12:11:46",1
"05/16/2022, 12:11:49",1
"05/16/2022, 12:11:52",1
"05/16/2022, 12:11:55",1
"05/16/2022, 12:11:58",1
"05/16/2022, 12:12:01",1
"05/16/2022, 12:12:04",1
"05/16/2022, 12:12:07",1
"05/16/2022, 12:12:10",1
"05/16/2022, 12:12:13",1
"05/16/2022, 12:12:16",1
"05/16/2022, 12:12:19",1
"05/16/2022, 12:12:22",1
"05/16/2022, 12:12:25",1
"05/16/2022, 12:12:28",1
"05/16/2022, 12:12:31",1
"05/16/2022, 12:12:34",1
"05/16/2022, 12:12:37",1
"05/16/2022, 12:12:40",1
"05/16/2022, 12:12:43",1
"05/16/2022, 12:12:46",1
"05/16/2022, 12:12:49",1
"05/16/2022, 12:12:52",1
"05/16/2022, 12:12:55",1
"05/16/2022, 12:12:58",1
"05/16/2022, 12:13:01",1
"05/16/2022, 12:13:04",1
"05/16/2022, 12:13:07",1
"05/16/2022, 12:13:10",1
"05/16/2022, 12:13:13",1
"05/16/2022, 12:13:16",1
"05/16/2022, 12:13:19",1
"05/16/2022, 12:13:22",1
"05/16/2022, 12:13:25",1
"05/16/2022, 12:13:28",1
"05/16/2022, 12:13:31",1
"05/16/2022, 12:13:34",1
"05/16/2022, 12:13:37",1
"05/16/2022, 12:13:40",1
"05/16/2022, 12:13:43",1
"05/16/2022, 12:13:46",1
"05/16/2022, 12:13:49",1
"05/16/2022, 12:13:52",1
"05/16/2022, 12:13:55",1
"05/16/2022, 12:13:58",1
"05/16/2022, 12:14:01",1
"05/16/2022, 12:14:04",1
"05/16/2022, 12:14:07",1
"05/16/2022, 12:14:10",1
"05/16/2022, 12:14:13",1
"05/16/2022, 12:14:16",1
"05/16/2022, 12:14:19",1
"05/16/2022, 12:14:22",1
"05/16/2022, 12:14:25",1
"05/16/2022, 12:14:28",1
"05/16/2022, 12:14:31",1
"05/16/2022, 12:14:34",1
"05/16/2022, 12:14:37",1
"05/16/2022, 12:14:40",1
"05/16/2022, 12:14:43",1
"05/16/2022, 12:14:46",1
"05/16/2022, 12:14:49",1
"05/16/2022, 12:14:52",1
"05/16/2022, 12:14:55",1
"05/16/2022, 12:14:58",1
"05/16/2022, 12:15:01",1
"05/16/2022, 12:15:04",1
"05/16/2022, 12:15:07",1
"05/16/2022, 12:15:10",1
"05/16/2022, 12:15:13",1
"05/16/2022, 12:15:16",1
"05/16/2022, 12:15:19",1
"05/16/2022, 12:15:22",1
"05/16/2022, 12:15:25",1
"05/16/2022, 12:15:28",1
"05/16/2022, 12:15:31",1
"05/16/2022, 12:15:34",1
"05/16/2022, 12:15:37",1
"05/16/2022, 12:15:40",1
"05/16/2022, 12:15:43",1
"05/16/2022, 12:15:46",1
"05/16/2022, 12:15:49",1
"05/16/2022, 12:15:52",1
"05/16/2022, 12:15:55",1
"05/16/2022, 12:15:58",1
time,flowcount
"05/16/2022, 12:18:11",1
"05/16/2022, 12:18:14",1
"05/16/2022, 12:18:17",1
"05/16/2022, 12:18:20",1
"05/16/2022, 12:18:23",1
"05/16/2022, 12:18:26",1
"05/16/2022, 12:18:29",1
"05/16/2022, 12:18:32",1
"05/16/2022, 12:18:35",1
"05/16/2022, 12:18:38",1
"05/16/2022, 12:18:41",1
"05/16/2022, 12:18:44",1
"05/16/2022, 12:18:47",1
"05/16/2022, 12:18:50",1
"05/16/2022, 12:18:53",1
"05/16/2022, 12:18:56",1
"05/16/2022, 12:18:59",1
"05/16/2022, 12:19:02",1
"05/16/2022, 12:19:05",1
"05/16/2022, 12:19:08",1
"05/16/2022, 12:19:11",1
"05/16/2022, 12:19:14",1
"05/16/2022, 12:19:17",1
"05/16/2022, 12:19:20",1
"05/16/2022, 12:19:23",1
"05/16/2022, 12:19:26",1
"05/16/2022, 12:19:29",1
"05/16/2022, 12:19:32",1
"05/16/2022, 12:19:35",1
"05/16/2022, 12:19:38",1
"05/16/2022, 12:19:41",1
"05/16/2022, 12:19:44",1
"05/16/2022, 12:19:47",1
"05/16/2022, 12:19:51",1
"05/16/2022, 12:19:54",1
"05/16/2022, 12:19:57",1
"05/16/2022, 12:20:00",1
"05/16/2022, 12:20:03",1
"05/16/2022, 12:20:06",1
"05/16/2022, 12:20:09",1
"05/16/2022, 12:20:12",1
"05/16/2022, 12:20:15",1
"05/16/2022, 12:20:18",1
"05/16/2022, 12:20:21",1
"05/16/2022, 12:20:24",1
"05/16/2022, 12:20:27",1
"05/16/2022, 12:20:30",1
"05/16/2022, 12:20:33",1
"05/16/2022, 12:20:36",1
"05/16/2022, 12:20:39",1
"05/16/2022, 12:20:42",1
"05/16/2022, 12:20:45",1
"05/16/2022, 12:20:48",1
