time,sfe,ssip,rfip,type
"05/16/2022, 12:06:17",-36,-10,1.0,0
"05/16/2022, 12:06:20",-42,-10,1.0,0
"05/16/2022, 12:06:23",-42,-10,1.0,0
"05/16/2022, 12:06:26",-54,-10,1.0,0
"05/16/2022, 12:06:29",-56,-10,1.0,0
"05/16/2022, 12:06:32",-58,-10,1.0,0
"05/16/2022, 12:06:35",-66,-10,1.0,0
"05/16/2022, 12:06:38",-66,-10,1.0,0
"05/16/2022, 12:06:41",-68,-10,1.0,0
"05/16/2022, 12:06:44",-68,-10,1.0,0
"05/16/2022, 12:06:47",-68,-10,1.0,0
"05/16/2022, 12:06:50",-74,-10,1.0,0
"05/16/2022, 12:06:53",-76,-10,1.0,0
"05/16/2022, 12:06:56",-76,-10,1.0,0
"05/16/2022, 12:06:59",-78,-10,1.0,0
"05/16/2022, 12:07:02",-78,-10,1.0,0
"05/16/2022, 12:07:05",-80,-10,1.0,0
"05/16/2022, 12:07:08",-82,-10,1.0,0
"05/16/2022, 12:07:11",-82,-10,1.0,0
"05/16/2022, 12:07:14",-84,-10,1.0,0
"05/16/2022, 12:07:17",-86,-10,1.0,0
"05/16/2022, 12:07:20",-86,-10,1.0,0
"05/16/2022, 12:07:23",-88,-10,1.0,0
"05/16/2022, 12:07:26",-90,-10,1.0,0
"05/16/2022, 12:07:29",-90,-10,1.0,0
"05/16/2022, 12:07:32",-90,-10,1.0,0
"05/16/2022, 12:07:35",-90,-10,1.0,0
"05/16/2022, 12:07:38",-90,-10,1.0,0
"05/16/2022, 12:07:41",-90,-10,1.0,0
"05/16/2022, 12:07:44",-90,-10,1.0,0
"05/16/2022, 12:07:47",-90,-10,1.0,0
"05/16/2022, 12:07:50",-90,-10,1.0,0
"05/16/2022, 12:07:53",-90,-10,1.0,0
